2023-10-27 21:43:48,826 INFO    MainThread:650731 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_setup.py:_flush():76] Configure stats pid to 650731
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_setup.py:_flush():76] Loading settings from /root/paper_project/hojun/wandb/settings
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'hojun/test_onnx.py', 'program_abspath': '/root/paper_project/hojun/test_onnx.py', 'program': 'test_onnx.py'}
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_init.py:_log_setup():528] Logging user logs to /root/paper_project/hojun/wandb/run-20231027_214348-xaflubp1/logs/debug.log
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_init.py:_log_setup():529] Logging internal logs to /root/paper_project/hojun/wandb/run-20231027_214348-xaflubp1/logs/debug-internal.log
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_init.py:init():568] calling init triggers
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.0003, 'architecture': 'UNET', 'dataset': 'HOJUN_KOREAN_FONT64', 'notes': 'content, yes_stoke, non_style/ 64 x 64, 420 dataset'}
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_init.py:init():618] starting backend
2023-10-27 21:43:48,827 INFO    MainThread:650731 [wandb_init.py:init():622] setting up manager
2023-10-27 21:43:48,828 INFO    MainThread:650731 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-27 21:43:48,829 INFO    MainThread:650731 [wandb_init.py:init():628] backend started and connected
2023-10-27 21:43:48,831 INFO    MainThread:650731 [wandb_init.py:init():720] updated telemetry
2023-10-27 21:43:48,843 INFO    MainThread:650731 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-27 21:43:49,346 INFO    MainThread:650731 [wandb_run.py:_on_init():2220] communicating current version
2023-10-27 21:43:49,380 INFO    MainThread:650731 [wandb_run.py:_on_init():2229] got version response 
2023-10-27 21:43:49,380 INFO    MainThread:650731 [wandb_init.py:init():804] starting run threads in backend
2023-10-27 21:43:49,469 INFO    MainThread:650731 [wandb_run.py:_console_start():2199] atexit reg
2023-10-27 21:43:49,469 INFO    MainThread:650731 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-27 21:43:49,469 INFO    MainThread:650731 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-27 21:43:49,469 INFO    MainThread:650731 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-27 21:43:49,470 INFO    MainThread:650731 [wandb_init.py:init():845] run started, returning control to user process
2023-10-27 21:43:59,627 WARNING MsgRouterThr:650731 [router.py:message_loop():77] message_loop has been closed
